co_municipio,co_ibge,no_municipio,uf,ano,rede,saeb_matematica,saeb_lingua_portuguesa,saeb_padronizado,ideb,posição estado,ideb_meta,etapa
4310900,431090,Jacutinga,RS,2023,Municipal,272.0,253.18,7.758165,7.8,,,Anos Iniciais
4316501,431650,Salvador do Sul,RS,2023,Municipal,268.17,259.72,7.803983,7.8,,,Anos Iniciais
5206800,520680,Damolândia,GO,2023,Municipal,277.89,249.9,7.810933,7.8,,,Anos Iniciais
3203304,320330,Mantenópolis,ES,2023,Municipal,271.91,251.98,7.734629,7.7,1,,Anos Iniciais
3514502,351450,Duartina,SP,2023,Municipal,275.84,244.87,7.680357,7.7,13,,Anos Iniciais
3514700,351470,Echaporã,SP,2023,Municipal,282.62,238.66,7.696837,7.7,14,,Anos Iniciais
3526001,352600,Junqueirópolis,SP,2023,Municipal,274.61,247.22,7.699611,7.7,15,,Anos Iniciais
3532504,353250,Neves Paulista,SP,2023,Municipal,274.48,251.89,7.782039,7.7,16,,Anos Iniciais
3553955,355395,Tarumã,SP,2023,Municipal,272.85,251.28,7.739841,7.7,17,,Anos Iniciais
2312304,231230,São Benedito,CE,2023,Municipal,271.75,253.08,7.751576,7.7,,,Anos Iniciais
2313906,231390,Uruoca,CE,2023,Municipal,272.61,248.46,7.683988,7.7,,,Anos Iniciais
2503100,250310,Cabaceiras,PB,2023,Municipal,272.37,248.45,7.679226,7.7,,,Anos Iniciais
2916856,291685,Itatim,BA,2023,Municipal,272.52,247.78,7.669907,7.7,,,Anos Iniciais
4107850,410785,Flor da Serra do Sul,PR,2023,Municipal,274.96,248.37,7.727199,7.7,,,Anos Iniciais
4111308,411130,Itaúna do Sul,PR,2023,Municipal,270.13,250.58,7.675205,7.7,,,Anos Iniciais
4113403,411340,Leópolis,PR,2023,Municipal,277.03,259.02,7.960339,7.7,,,Anos Iniciais
4125308,412530,São Jorge do Ivaí,PR,2023,Municipal,273.28,249.72,7.719684,7.7,,,Anos Iniciais
4125555,412555,São Manoel do Paraná,PR,2023,Municipal,271.44,249.85,7.686933,7.7,,,Anos Iniciais
4128658,412865,Virmond,PR,2023,Municipal,283.24,254.89,8.00376,7.7,,,Anos Iniciais
4312955,431295,Nova Boa Vista,RS,2023,Municipal,267.64,255.4,7.715323,7.7,,,Anos Iniciais
5211404,521140,Itauçu,GO,2023,Municipal,269.05,255.06,7.736049,7.7,,,Anos Iniciais
5218805,521880,Rio Verde,GO,2023,Municipal,268.28,252.62,7.676991,7.7,,,Anos Iniciais
3524709,352470,Jaguariúna,SP,2023,Municipal,268.82,247.52,7.594569,7.6,18,,Anos Iniciais
3524808,352480,Jales,SP,2023,Municipal,268.54,247.56,7.589953,7.6,19,,Anos Iniciais
3528858,352885,Marapoama,SP,2023,Municipal,272.06,243.0,7.574219,7.6,20,,Anos Iniciais
3533700,353370,Ocauçu,SP,2023,Municipal,273.81,244.4,7.633071,7.6,21,,Anos Iniciais
3551306,355130,Sebastianópolis do Sul,SP,2023,Municipal,273.28,245.7,7.646593,7.6,22,,Anos Iniciais
2304509,230450,Frecheirinha,CE,2023,Municipal,264.39,252.86,7.607118,7.6,,,Anos Iniciais
2305902,230590,Ipueiras,CE,2023,Municipal,269.19,247.1,7.593994,7.6,,,Anos Iniciais
2308500,230850,Mombaça,CE,2023,Municipal,273.23,248.37,7.694184,7.6,,,Anos Iniciais
2404804,240480,Ipueira,RN,2023,Municipal,271.29,249.8,7.683161,7.6,,,Anos Iniciais
2512309,251230,Princesa Isabel,PB,2023,Municipal,270.09,247.92,7.626078,7.6,,,Anos Iniciais
4101408,410140,Apucarana,PR,2023,Municipal,267.24,249.96,7.60878,7.6,,,Anos Iniciais
4103008,410300,Boa Esperança,PR,2023,Municipal,271.46,252.38,7.733314,7.6,,,Anos Iniciais
4120705,412070,Quatiguá,PR,2023,Municipal,275.75,251.1,7.791912,7.6,,,Anos Iniciais
4121406,412140,Realeza,PR,2023,Municipal,273.2,249.81,7.719793,7.6,,,Anos Iniciais
4124905,412490,São João do Caiuá,PR,2023,Municipal,263.75,255.29,7.639086,7.6,,,Anos Iniciais
4125407,412540,São José da Boa Vista,PR,2023,Municipal,271.56,244.49,7.591768,7.6,,,Anos Iniciais
4128005,412800,Ubiratã,PR,2023,Municipal,270.85,244.45,7.577491,7.6,,,Anos Iniciais
4205431,420543,Formosa do Sul,SC,2023,Municipal,268.83,252.62,7.687487,7.6,,,Anos Iniciais
4210035,421003,Luzerna,SC,2023,Municipal,271.88,250.22,7.702057,7.6,,,Anos Iniciais
4215554,421555,Santa Helena,SC,2023,Municipal,265.45,253.92,7.64662,7.6,,,Anos Iniciais
4300505,430050,Alpestre,RS,2023,Municipal,265.7,248.62,7.555027,7.6,,,Anos Iniciais
5202502,520250,Aruanã,GO,2023,Municipal,268.45,246.77,7.573872,7.6,,,Anos Iniciais
5203807,520380,Britânia,GO,2023,Municipal,271.88,247.25,7.648057,7.6,,,Anos Iniciais
5216304,521630,Paranaiguara,GO,2023,Municipal,273.11,252.12,7.760076,7.6,,,Anos Iniciais
3202900,320290,Itarana,ES,2023,Municipal,266.46,247.52,7.549531,7.5,2,,Anos Iniciais
3512100,351210,Colômbia,SP,2023,Municipal,264.85,243.78,7.450806,7.5,23,,Anos Iniciais
3518305,351830,Guararema,SP,2023,Municipal,267.64,243.29,7.495141,7.5,24,,Anos Iniciais
3522703,352270,Itápolis,SP,2023,Municipal,265.11,247.79,7.528677,7.5,25,,Anos Iniciais
3549300,354930,São João do Pau d'Alho,SP,2023,Municipal,264.84,248.07,7.528615,7.5,26,,Anos Iniciais
3553005,355300,Taguaí,SP,2023,Municipal,267.24,243.86,7.497871,7.5,27,,Anos Iniciais
2304707,230470,Granja,CE,2023,Municipal,263.12,247.58,7.486881,7.5,,,Anos Iniciais
2313005,231300,Solonópole,CE,2023,Municipal,258.54,252.73,7.493113,7.5,,,Anos Iniciais
2707503,270750,Porto Real do Colégio,AL,2023,Municipal,273.27,239.58,7.535129,7.5,,,Anos Iniciais
3122801,312280,Dom Viçoso,MG,2023,Municipal,271.77,241.01,7.532503,7.5,,,Anos Iniciais
4107207,410720,Dois Vizinhos,PR,2023,Municipal,265.93,247.54,7.53978,7.5,,,Anos Iniciais
4109005,410900,Guapirama,PR,2023,Municipal,265.37,247.0,7.519275,7.5,,,Anos Iniciais
4115606,411560,Matelândia,PR,2023,Municipal,274.83,236.42,7.507446,7.5,,,Anos Iniciais
4121257,412125,Ramilândia,PR,2023,Municipal,265.35,248.01,7.537257,7.5,,,Anos Iniciais
4122305,412230,Rio Negro,PR,2023,Municipal,271.73,243.08,7.569376,7.5,,,Anos Iniciais
4126306,412630,Sengés,PR,2023,Municipal,266.49,246.83,7.537558,7.5,,,Anos Iniciais
4207908,420790,Irineópolis,SC,2023,Municipal,269.27,248.09,7.61352,7.5,,,Anos Iniciais
4307906,430790,Farroupilha,RS,2023,Municipal,264.45,248.27,7.524808,7.5,,,Anos Iniciais
4315453,431545,Relvado,RS,2023,Municipal,261.08,254.35,7.571041,7.5,,,Anos Iniciais
5210158,521015,Ipiranga de Goiás,GO,2023,Municipal,272.18,239.88,7.519782,7.5,,,Anos Iniciais
5219506,521950,Santa Rosa de Goiás,GO,2023,Municipal,265.47,246.16,7.50591,7.5,,,Anos Iniciais
3507753,350775,Brejo Alegre,SP,2023,Municipal,263.4,244.09,7.42877,7.4,28,,Anos Iniciais
3513306,351330,Cruzália,SP,2023,Municipal,254.41,252.29,7.406296,7.4,29,,Anos Iniciais
3515400,351540,Fartura,SP,2023,Municipal,262.56,242.28,7.379831,7.4,30,,Anos Iniciais
3516507,351650,Gabriel Monteiro,SP,2023,Municipal,268.69,238.93,7.435906,7.4,31,,Anos Iniciais
3536406,353640,Paulicéia,SP,2023,Municipal,265.64,237.62,7.353882,7.4,32,,Anos Iniciais
3537305,353730,Penápolis,SP,2023,Municipal,262.85,247.18,7.474456,7.4,33,,Anos Iniciais
3540002,354000,Pompéia,SP,2023,Municipal,267.14,240.18,7.429053,7.4,34,,Anos Iniciais
3547403,354740,Santa Rita d'Oeste,SP,2023,Municipal,264.02,243.59,7.431511,7.4,35,,Anos Iniciais
3547908,354790,Santo Antônio da Alegria,SP,2023,Municipal,268.62,239.59,7.44657,7.4,36,,Anos Iniciais
3552551,355255,Suzanápolis,SP,2023,Municipal,265.97,239.29,7.390543,7.4,37,,Anos Iniciais
3552908,355290,Taciba,SP,2023,Municipal,267.22,249.29,7.596217,7.4,38,,Anos Iniciais
3556008,355600,Urupês,SP,2023,Municipal,263.46,242.01,7.392097,7.4,39,,Anos Iniciais
2203305,220330,Demerval Lobão,PI,2023,Municipal,253.25,254.47,7.423795,7.4,,,Anos Iniciais
2302057,230205,Barroquinha,CE,2023,Municipal,258.35,246.98,7.384942,7.4,,,Anos Iniciais
2304806,230480,Granjeiro,CE,2023,Municipal,254.74,250.45,7.379139,7.4,,,Anos Iniciais
2305209,230520,Hidrolândia,CE,2023,Municipal,262.39,241.79,7.367677,7.4,,,Anos Iniciais
2306504,230650,Itapiúna,CE,2023,Municipal,260.35,243.53,7.360382,7.4,,,Anos Iniciais
2309607,230960,Pacajus,CE,2023,Municipal,258.9,247.19,7.399256,7.4,,,Anos Iniciais
2310258,231025,Paraipaba,CE,2023,Municipal,258.51,245.47,7.360541,7.4,,,Anos Iniciais
2313609,231360,Ubajara,CE,2023,Municipal,258.29,245.36,7.354342,7.4,,,Anos Iniciais
3103108,310310,Antônio Prado de Minas,MG,2023,Municipal,253.31,255.03,7.435122,7.4,,,Anos Iniciais
3130606,313060,Inconfidentes,MG,2023,Municipal,260.82,246.41,7.421715,7.4,,,Anos Iniciais
3160959,316095,São Domingos das Dores,MG,2023,Municipal,263.34,243.57,7.418171,7.4,,,Anos Iniciais
3162948,316294,São José da Barra,MG,2023,Municipal,263.15,240.64,7.361272,7.4,,,Anos Iniciais
3163904,316390,São Pedro da União,MG,2023,Municipal,263.36,242.84,7.40528,7.4,,,Anos Iniciais
4103024,410302,Boa Esperança do Iguaçu,PR,2023,Municipal,268.04,236.01,7.370411,7.4,,,Anos Iniciais
4103404,410340,Cafeara,PR,2023,Municipal,256.45,251.75,7.435409,7.4,,,Anos Iniciais
4104907,410490,Castro,PR,2023,Municipal,264.55,241.12,7.396717,7.4,,,Anos Iniciais
4108304,410830,Foz do Iguaçu,PR,2023,Municipal,266.7,243.33,7.477929,7.4,,,Anos Iniciais
4110300,411030,Inajá,PR,2023,Municipal,262.88,245.43,7.44321,7.4,,,Anos Iniciais
4122701,412270,Sabáudia,PR,2023,Municipal,263.49,240.06,7.357215,7.4,,,Anos Iniciais
4127957,412795,Tupãssi,PR,2023,Municipal,266.49,239.68,7.407558,7.4,,,Anos Iniciais
4209854,420985,Lindóia do Sul,SC,2023,Municipal,258.87,258.81,7.609956,7.4,,,Anos Iniciais
4215075,421507,Riqueza,SC,2023,Municipal,260.38,243.69,7.363864,7.4,,,Anos Iniciais
4313003,431300,Nova Bréscia,RS,2023,Municipal,265.03,239.73,7.380604,7.4,,,Anos Iniciais
4321634,432163,Três Arroios,RS,2023,Municipal,265.99,238.81,7.382198,7.4,,,Anos Iniciais
5201306,520130,Anicuns,GO,2023,Municipal,261.62,244.39,7.400255,7.4,,,Anos Iniciais
5205901,520590,Corumbaíba,GO,2023,Municipal,262.75,241.34,7.366366,7.4,,,Anos Iniciais
5208608,520860,Goianésia,GO,2023,Municipal,261.76,244.97,7.413473,7.4,,,Anos Iniciais
5211305,521130,Itarumã,GO,2023,Municipal,263.97,242.65,7.413466,7.4,,,Anos Iniciais
5218607,521860,Rialma,GO,2023,Municipal,254.04,250.08,7.359053,7.4,,,Anos Iniciais
3204955,320495,São Roque do Canaã,ES,2023,Municipal,256.85,243.4,7.291225,7.3,3,,Anos Iniciais
3501806,350180,Américo de Campos,SP,2023,Municipal,258.7,245.46,7.363985,7.3,40,,Anos Iniciais
3503703,350370,Ariranha,SP,2023,Municipal,265.0,235.44,7.302032,7.3,41,,Anos Iniciais
3504107,350410,Atibaia,SP,2023,Municipal,256.28,242.78,7.269074,7.3,42,,Anos Iniciais
3505302,350530,Barra Bonita,SP,2023,Municipal,261.01,240.17,7.311887,7.3,43,,Anos Iniciais
3510708,351070,Cardoso,SP,2023,Municipal,268.89,239.39,7.448087,7.3,44,,Anos Iniciais
3519105,351910,Iacanga,SP,2023,Municipal,261.44,239.5,7.307911,7.3,45,,Anos Iniciais
3519402,351940,Ibirá,SP,2023,Municipal,260.62,238.44,7.27299,7.3,46,,Anos Iniciais
3520509,352050,Indaiatuba,SP,2023,Municipal,264.62,246.27,7.491689,7.3,47,,Anos Iniciais
